class	channel	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255
healthy	hue	0.0035684788399114524	0.003669122748302124	0.0036242850947234757	0.0034567849382149515	0.0032098943819581834	0.002941015604925902	0.002713731415477515	0.002589470291108495	0.002619673348852293	0.0028393712890787508	0.0032634732234585514	0.0038873172210882605	0.00469243948308202	0.005656784118819014	0.0067662197177225485	0.008022532976985453	0.009443422112315131	0.01105296266325723	0.012865621145535786	0.014870892347496797	0.017026575163383944	0.019265412904706642	0.021513404548872128	0.02371163868468082	0.02583058665806304	0.02786847315423913	0.029832825312794502	0.03171309309352582	0.033457818927833505	0.03496903487409303	0.03611932462212471	0.03678657766860335	0.03689291376978124	0.036431789901297404	0.03547214335923006	0.03413818748065572	0.03257346476693183	0.030903425698061905	0.029209965267993968	0.0275250478549029	0.02584217598477846	0.024137870696712638	0.02239303064133173	0.02060625941568091	0.018796242182294934	0.016995381441819182	0.015239962154525185	0.013562217755357067	0.011987382096585805	0.010535630679131778	0.009226302280477867	0.008080898088753336	0.007122178692101552	0.006368658895668944	0.005826078113163315	0.005479146714805582	0.005287378740729841	0.005187816675448323	0.005105149750234112	0.004966910310037972	0.004719249037090869	0.004338253520045635	0.0038332281423275796	0.0032412204273644463	0.002615114237666246	0.0020095291450384304	0.0014688864399279228	0.0010205256572767942	0.0006735493079842912	0.0004221499271536882	0.0002511917293807984	0.0001418747421031136	7.605110102526158e-05	3.8686466297179765e-05	1.8673547914019625e-05	8.552159855959703e-06	3.716011682232922e-06	1.5318093660496804e-06	5.990114456015393e-07	2.2220120260628785e-07	7.818404743709096e-08	2.609342793291369e-08	8.259755436010147e-09	2.4797564650673896e-09	7.060576983886023e-10	1.906535571720094e-10	4.882115693270101e-11	1.1855369622592e-11	2.729932817931598e-12	5.960806886144943e-13	1.2341307781850877e-13	2.4227439563208804e-14	4.5095327347206305e-15	7.958313232651518e-16	1.3315699899518948e-16	2.112266489499068e-17	3.1766079804578258e-18	4.528948606040607e-19	6.121232112379945e-20	7.842905538966316e-21	9.525788938807461e-22	1.0967308627064843e-22	1.1969162723295818e-23	1.2381739983846147e-24	1.214069492348092e-25	1.1283381709649142e-26	9.939372068006632e-28	8.298369654999718e-29	6.56645782429612e-30	4.924528552406796e-31	3.5001287528386096e-32	2.357654512692786e-33	1.5050267010557096e-34	9.104737874412267e-36	5.2196501405647675e-37	2.835683488603665e-38	1.4598524019155712e-39	7.125845624973471e-41	4.223981392134752e-42	2.0132666480187468e-41	4.0614482697709154e-40	7.816595118912291e-39	1.4249836321913142e-37	2.4606668940194764e-36	4.0248352533437716e-35	6.2358773128807955e-34	9.151730775175687e-33	1.2722352000791735e-31	1.6753000930056893e-30	2.0896890677197873e-29	2.46909452787684e-28	2.7635303392035683e-27	2.9299830210548007e-26	2.9426907274817145e-25	2.7996746637248473e-24	2.5232439902298066e-23	2.1542968598157436e-22	1.7424206018286257e-21	1.3350847325783687e-20	9.691278152019343e-20	6.664668528940082e-19	4.342213037064518e-18	2.6803383230277438e-17	1.5675665484748463e-16	8.686272216767682e-16	4.560647359069993e-15	2.2689302333479246e-14	1.0696333519289254e-13	4.778450801024944e-13	2.023013356170405e-12	8.116949208027182e-12	3.086699936146198e-11	1.1125786931878554e-10	3.80129278451742e-10	1.2311984202702648e-09	3.780552349103545e-09	1.1006513304973348e-08	3.038441606199429e-08	7.954272204841365e-08	1.9748886928261368e-07	4.650759461020931e-07	1.0389454399347814e-06	2.201909857417316e-06	4.4278819303864485e-06	8.449577922557774e-06	1.5302760141875345e-05	2.6305919367971682e-05	4.2927793601584836e-05	6.650831038811746e-05	9.783947565516167e-05	0.00013667800526207923	0.00018133054391297087	0.00022849034614806413	0.0002734768285806066	0.0003109238596428741	0.00033580465614976206	0.00034453209507149006	0.00033580465614976206	0.0003109238596428741	0.0002734768285806066	0.00022849034614806554	0.00018133054391297087	0.00013667800526207923	9.783947565516167e-05	6.65083103881183e-05	4.2927793601584836e-05	2.6305919367971682e-05	1.5302760141875345e-05	8.449577922557934e-06	4.4278819303864485e-06	2.201909857417316e-06	1.0389454399347814e-06	4.650759461020931e-07	1.9748886928261368e-07	7.954272204841365e-08	3.0384416061995224e-08	1.1006513304973348e-08	3.780552349103545e-09	1.2311984202702648e-09	3.8012927845175623e-10	1.1125786931878554e-10	3.086699936146198e-11	8.116949208027182e-12	2.023013356170498e-12	4.778450801024944e-13	1.0696333519289254e-13	2.2689302333479246e-14	4.5606473590702195e-15	8.686272216767682e-16	1.5675665484748463e-16	2.6803383230277438e-17	4.3422130370647495e-18	6.664668528940082e-19	9.691278152019343e-20	1.3350847325783687e-20	1.7424206018286877e-21	2.1542968598157436e-22	2.5232439902298066e-23	2.799674663724927e-24	2.9426907274818196e-25	2.9299830210548007e-26	2.7635303392035683e-27	2.4690945278769276e-28	2.0896890677198613e-29	1.6753000930056893e-30	1.2722352000792188e-31	9.151730775176077e-33	6.2358773128807955e-34	4.0248352533437706e-35	2.4606668940193063e-36	1.4249836321036531e-37	7.816594883511194e-39	4.0613884148221764e-40	1.9988458689736223e-41	9.318172589941132e-43	4.1146014951146225e-44	1.7209546633311866e-45	6.817966025276416e-47	2.558486978817365e-48	9.093977292494345e-50	3.0617249184571336e-51	9.763815360986583e-53	2.9492631734023653e-54	8.438157452390067e-56	2.2867645013979913e-57	5.869952859414705e-59	1.4272064907337618e-60	3.2868337937011993e-62	7.169801691016764e-64	1.4814083075874136e-65	2.899215028544779e-67	5.374324770321477e-69	9.436371816605585e-71	1.569364001070622e-72	2.4721777529757928e-74	3.688696673102367e-76
disease	hue	0.02067278712783903	0.024976405446678163	0.02945562480097914	0.03397130139533102	0.03838336906048638	0.04255738275489397	0.04636509392534945	0.04968013123118845	0.05237272041003698	0.05430882091156063	0.05535798369920452	0.0554107108610547	0.05440154709127015	0.05233071192796792	0.04927653528209937	0.04539364450548957	0.04089654308402629	0.0360328124812785	0.03105281037276531	0.026182708045238264	0.021605553230067995	0.01745204158488415	0.013800075216256614	0.01068066505889113	0.008087340858957771	0.005986619975418912	0.004327825233890045	0.003051311959137437	0.002094790241788339	0.0013978423597432131	0.0009049353565731512	0.00056725976072613	0.0003436619696605918	0.00020085756127819314	0.00011306664229578208	6.121019472544708e-05	3.182618321150502e-05	1.5875225917363887e-05	7.589323727684297e-06	3.474331248964875e-06	1.5220123150000725e-06	6.376566791599448e-07	2.553656647301375e-07	9.771595559430907e-08	3.5714626627441256e-08	1.2464629232876477e-08	4.152987743208846e-09	1.3206941345613916e-09	4.0080241880248383e-10	1.1605998333694696e-10	3.2063119233183877e-11	8.44996480744048e-12	2.124178798207807e-12	5.093083089148843e-13	1.1646484912376197e-13	2.5398493912247596e-14	5.281991613565021e-15	1.0474766540057046e-15	1.9807531413685737e-16	3.5714126820201027e-17	6.139872174238498e-18	1.0064113844029342e-18	1.572813298756712e-19	2.3434396237220296e-20	3.3288619512284425e-21	4.508109755873982e-22	5.820252512399461e-23	7.163585151899822e-24	8.405304550073351e-25	9.401660963682216e-26	1.002485184683002e-26	1.0189858208058259e-27	9.873475496367131e-29	9.11966692328142e-30	8.029537064057066e-31	6.739078667613916e-32	5.3914450389812564e-33	4.111505441432338e-34	2.988712960142317e-35	2.0708661225165985e-36	1.36773305178053e-37	8.610519697061288e-39	5.1669405051673674e-40	2.9553652060113164e-41	1.6112395729131175e-42	8.372943440165417e-44	4.1472785002126275e-45	1.958002749872277e-46	8.811028546615376e-48	3.779213225783118e-49	1.5450268083365148e-50	6.020449661221286e-52	2.2360353305535255e-53	7.915599828187953e-55	2.670810820686831e-56	8.589251363018485e-58	2.6328081525340613e-59	7.691902205230467e-61	2.1421289874811197e-62	6.616657748517066e-64	3.522871691397726e-63	1.2589124212390587e-61	4.3052743274331325e-60	1.4032667170473727e-58	4.35926071017078e-57	1.2906813984239338e-55	3.6421619396833456e-54	9.7956642379374e-53	2.5109811819716643e-51	6.13463170149268e-50	1.4284649745817856e-48	3.170205532344181e-47	6.705677904666853e-46	1.351873961750649e-44	2.5975794686648688e-43	4.7570923199149105e-42	8.30339093584276e-41	1.3813754820834337e-39	2.1903406290642076e-38	3.310218594599592e-37	4.768133211396832e-36	6.546188946805633e-35	8.566020045155884e-34	1.0683712145272973e-32	1.2700481544750819e-31	1.4390495348510506e-30	1.5541457828681077e-29	1.59982117816226e-28	1.5697062016246226e-27	1.4680353306873636e-26	1.3086702513279467e-25	1.1119990364779208e-24	9.006674299172259e-24	6.953706902629644e-23	5.117606211461016e-22	3.590238897309861e-21	2.4010108180445153e-20	1.5306941051647656e-19	9.302861037196214e-19	5.390015313010592e-18	2.977293646453747e-17	1.5679273649472433e-16	7.872613295802757e-16	3.768935135513522e-15	1.7204633143910627e-14	7.488966655751326e-14	3.1086627609872036e-13	1.2306348481349254e-12	4.646445885716077e-12	1.673342374153517e-11	5.748593868677639e-11	1.8840697689886327e-10	5.891719822494706e-10	1.7581435953764063e-09	5.007235023851634e-09	1.3612712876446289e-08	3.533249273732569e-08	8.757401862558663e-08	2.073220189018702e-07	4.6891277700874926e-07	1.013519932629279e-06	2.0940780746047094e-06	4.137230577642895e-06	7.818564714185253e-06	1.4138252371941646e-05	2.4472109468287468e-05	4.0561273242475704e-05	6.439798478760568e-05	9.797247127704719e-05	0.00014287215800609014	0.00019976942417552224	0.0002678892345968067	0.00034459574742389605	0.00042525523439223385	0.0005035027587063947	0.0005719567832173368	0.0006233041961861671	0.0006515529654014401	0.0006531657235458046	0.0006277831326685967	0.0005783342411261015	0.0005104909251712094	0.00043160346691536295	0.0003493919887919578	0.0002707164904853762	0.0002006944737121033	0.00014230671644981473	9.648107474162725e-05	6.252469296769023e-05	3.8719430907173096e-05	2.290652937550378e-05	1.2943069054442114e-05	6.983403545671303e-06	3.5971808818750503e-06	1.7686611664905012e-06	8.299351718335845e-07	3.716191973276649e-07	1.5876344556761272e-07	6.470700653981826e-08	2.5156834059178978e-08	9.328780848717578e-09	3.2993070481022365e-09	1.1128025461085157e-09	3.579176089433857e-10	1.0977228690689235e-10	3.210146717385903e-11	8.950758028035003e-12	2.379468135083649e-12	6.030723002223729e-13	1.4571834441070598e-13	3.356617620870615e-14	7.370909234261786e-15	1.542985119927107e-15	3.079036710337069e-16	5.85696126172234e-17	1.0620058769834745e-17	1.835574592281432e-18	3.0241395472548464e-19	4.7490965735939207e-20	7.108775437507287e-21	1.0142591117584237e-21	1.379334181530379e-22	1.787940431982644e-23	2.2090035110905808e-24	2.6013376912960925e-25	2.919788912907387e-26	3.1236203620232368e-27	3.185040805098668e-28	3.09542167097776e-29	2.8672857578273816e-30	2.5314358023563048e-31	2.130130588275482e-32	1.7083924011376047e-33	1.3059001335381583e-34	9.514197987705092e-36	6.606528833276918e-37	4.372326183828496e-38	2.7579669611752737e-39	1.6580672534824569e-40	9.500602741485904e-42	5.188424790564479e-43	2.7005654878883645e-44	1.3397021085651524e-45	6.334256893286181e-47	2.8544117010948574e-48	1.2259441981250746e-49	5.0183115007035886e-51	1.957839364691364e-52	7.27995602214225e-54	2.5799570160407032e-55	8.714209138476377e-57	2.8052726635737057e-58	8.607035434417081e-60	2.5168848504175982e-61	7.014620763982203e-63	1.8632709098812675e-64
background	hue	0.011433077706643232	0.011950960135186919	0.012456692994751465	0.012946668298359991	0.013417197906898395	0.013864551245996623	0.01428499786497092	0.0146748544903664	0.015030536009234853	0.015348609593915995	0.015625850961872766	0.015859301562936877	0.016046325314158498	0.01618466337069687	0.016272485339924193	0.016308435323203255	0.016291671211156582	0.016221895766116122	0.01609937819900477	0.015924965182873025	0.015700080534149487	0.015426713124788998	0.015107392950850927	0.014745155660665041	0.014343496222621372	0.013906312772422508	0.013437842006671525	0.012942587769609853	0.01242524470053066	0.011890618961498917	0.011343548142369665	0.010788822440085723	0.010231109132819542	0.009674882221143237	0.009124358895677878	0.008583444223927829	0.00805568514071533	0.007544234490708698	0.007051825522633644	0.0065807568875096345	0.006132887861594508	0.005709643211250603	0.005312026852399856	0.004940643240080922	0.004595725259782619	0.004277167284960122	0.003984562015039825	0.0037172397133541273	0.003474308520618552	0.0032546946206385764	0.0030571811732558276	0.0028804450963929645	0.00272309096510877	0.0025836814913750466	0.0024607642446747447	0.0023528944620317097	0.0022586539692640863	0.0021766663869338225	0.0021056089199289296	0.0020442211257005877	0.0019913111213117644	0.0019457597235893334	0.0019065230211838342	0.001872633854848705	0.0018432026364137032	0.001817417872191239	0.0017945466778975462	0.0017739354848356093	0.0017550110463196477	0.001737281764132724	0.0017203392717686737	0.001703860138261095	0.0016876074967370335	0.0016714323578014636	0.0016552743409208933	0.0016391615477085743	0.0016232093091502844	0.0016076175633141492	0.0015926666592579607	0.0015787114344448412	0.001566173474361995	0.0015555315313050772	0.0015473101514222132	0.00154206663208976	0.0015403765026251136	0.0015428177875523453	0.0015499543707407578	0.0015623188286963642	0.0015803951404423043	0.0016046017085163864	0.0016352751397773818	0.0016726552354741089	0.0017168716272909811	0.001767932470095152	0.0018257155634555365	0.001889962223580336	0.001960274166309367	0.0020361135916599155	0.002116806582866318	0.0022015498498129844	0.0022894207603795782	0.0023793905158068706	0.00247034024018536	0.0025610796720796653	0.0026503680706348887	0.0027369368817162522	0.002819513653988124	0.0028968466523859333	0.002967729588866557	0.003031025878913084	0.003085691837778382	0.0031307982530755416	0.003165549809647209	0.0031893018976320423	0.0032015744036470186	0.0032020621658017186	0.0031906418631591524	0.003167375206153172	0.003132508393026537	0.003086467895090613	0.0030298527271087707	0.0029634234451368087	0.0028880881898433975	0.0028048861562823962	0.002714968919496496	0.002619580078082833	0.0025200336945333567	0.0024176920121155763	0.002313942914298954	0.0022101775659142064	0.0021077686375280532	0.002008049468489556	0.0019122944725556822	0.001821701035813965	0.0017373731025687165	0.0016603065934915255	0.00159137675380393	0.0015313274892156494	0.001480762714858778	0.0014401397179835788	0.0014097645185350244	0.00138978920214065	0.001380211196216976	0.0013808744601455656	0.001391472562802328	0.0014115536230400216	0.0014405270889558857	0.001477672328045461	0.0015221489911108335	0.001573009096979582	0.0016292107621816614	0.001689633469821785	0.001753094735705998	0.0018183679886738084	0.001884201437934587	0.001949337655331454	0.002012533557481692	0.0020725804344375043	0.0021283236406090603	0.0021786815427209524	0.0022226633106830897	0.0022593851420707896	0.0022880845304040077	0.0023081322218381074	0.002319041553704706	0.002320474930280724	0.0023122472642118533	0.0022943262935468194	0.0022668297712342476	0.002230019612747731	0.0021842931746391533	0.002130171918715754	0.002068287789856157	0.0019993676972815213	0.001924216536978977	0.0018436992251904985	0.0017587222284185218	0.0016702150740153098	0.0015791123076301509	0.001486336330811408	0.0013927815057496549	0.0012992998568626007	0.0012066886333954759	0.0011156799263967404	0.001026932460352013	0.0009410256073623576	0.0008584556027637581	0.00077963387789914	0.0007048873703479027	0.0006344606257822445	0.0005685194697325664	0.0005071560023648963	0.00045039465486778723	0.00039819904173326085	0.0003504793482334669	0.0003071000055758983	0.0002678874261814107	0.00023263759675680324	0.00020112335576709817	0.00017310121302266217	0.00014831760095072633	0.00012651447843824368	0.00010743423782120068	9.082389277668847e-05	7.643854889502477e-05	6.404417913973276e-05	5.341974302295208e-05	4.4358701101690604e-05	3.6669985466641935e-05	3.0178492511196083e-05	2.4725166793055222e-05	2.0166744659830323e-05	1.637522396460939e-05	1.3237122118555267e-05	1.065257937281201e-05	8.534358017969265e-06	6.806781518370946e-06	5.40465079002997e-06	4.2721681567502785e-06	3.3618931928909616e-06	2.6337488404111824e-06	2.0540909779282153e-06	1.5948500800788644e-06	1.232749757071658e-06	9.486037958225023e-07	7.26690799934142e-07	5.54203592888132e-07	4.2076914265986756e-07	3.180338159834648e-07	2.3930820449365164e-07	1.7926551261069738e-07	1.3368749239369174e-07	9.92520939413592e-08	7.335731878645428e-08	5.3976173333560594e-08	3.9538082648608385e-08	2.88326120699563e-08	2.093183214332034e-08	1.5128134210669304e-08	1.0884747648345555e-08	7.796617558595689e-09	5.559669421607664e-09	3.946813249012474e-09	2.7893245957169538e-09	1.9624852714925748e-09	1.3745755870332376e-09	9.584858757406588e-10	6.653615179570266e-10	4.598164580512479e-10	3.1634881715765115e-10	2.1667199836531529e-10	1.477386864689475e-10	1.002860552581274e-10	6.777066305384651e-11	4.559296030204554e-11	3.053575896081411e-11
healthy	saturation	0.00010051965903533621	0.00011374072047932325	0.0001283829714435099	0.00014455395330828898	0.00016236352051864916	0.00018192313925866025	0.00020334510335529558	0.00022674167196115605	0.00025222413555367284	0.00027990181884347354	0.0003098810312630184	0.0003422639777593185	0.00037714764458795754	0.0004146226766428139	0.0004547722644978464	0.0004976710607244373	0.0005433841461216973	0.000591966067202149	0.0006434599665605976	0.0006978968275753168	0.0007552948542123774	0.0008156590055000057	0.0008789807024964558	0.0009452377232909254	0.0010143942987653222	0.0010864014185329514	0.0011611973527009501	0.0012387083909337065	0.0013188497957964946	0.001401526962616524	0.0014866367732095064	0.0015740691258897591	0.001663708619325073	0.0017554363631330178	0.0018491318837643251	0.0019446750903016018	0.002041948261434585	0.002140838012164637	0.00224123719684074	0.0023430467040212013	0.002446177098459286	0.0025505500662774423	0.0026560996211540157	0.0027627730321059998	0.0028705314371975355	0.002979350112197244	0.003089218368787267	0.003200139063308932	0.003312127704108493	0.003425211153197471	0.0035394259260236685	0.0036548161015052673	0.0037714308629450775	0.003889321698840867	0.004008539300762925	0.0041291302032047715	0.004251133217453839	0.0043745757179113835	0.004499469844761972	0.0046258086913151635	0.004753562547597599	0.004882675273764559	0.005013060877554295	0.005144600369278204	0.005277138965706542	0.005410483710678705	0.005544401575378394	0.005678618095028079	0.005812816591366875	0.005946638021794384	0.00607968148663035	0.00621150541571274	0.006341629444711116	0.006469536980256937	0.006594678441485442	0.006716475154052064	0.006834323861334295	0.006947601806565	0.00705567232926327	0.0071578909097240835	0.0072536115866754175	0.007342193665669851	0.007423008629489573	0.007495447156927471	0.0075589261528569195	0.0076128956905911725	0.007656845767200874	0.007690312773723144	0.007712885585045759	0.00772421117864768	0.007723999697259058	0.0077120288777783735	0.007688147777342819	0.007652279737151793	0.007604424535341772	0.007544659691734641	0.0074731408994412815	0.0073901015709095545	0.0072958514988512	0.007190774645360925	0.007075326085243904	0.006950028141885263	0.006815465765727888	0.006672281216381088	0.00652116811937738	0.006362864977471868	0.006198148223982937	0.00602782491188912	0.005852725137117607	0.00567369429761482	0.005491585291330316	0.00530725075615553	0.005121535453145647	0.004935268891064606	0.004749258285489549	0.00456428193949714	0.004381083125446124	0.004200364538716607	0.004022783384630809	0.0038489471493441153	0.0036794100944523758	0.0035146705036169837	0.003355168697864981	0.003201285824588542	0.0030533434138444848	0.0029116036845331307	0.002776270572597042	0.0026474914436856703	0.0025253594439255595	0.002409916434639223	0.0023011564501663876	0.002199029612432306	0.0021034464316262735	0.002014282419321473	0.0019313829385835095	0.0018545682150517425	0.0017836384335907834	0.0017183788468306095	0.001658564824661983	0.00160396677743157	0.0015543548900818348	0.0015095036096878334	0.0014691958346367872	0.0014332267599522777	0.001401407339860194	0.0013735673355065238	0.0013495579226503903	0.0013292538410577105	0.001312555074107593	0.0012993880536982935	0.0012897063918161492	0.0012834911460316786	0.001280750631645824	0.0012815197981698037	0.0012858591922392398	0.0012938535329031675	0.0013056099284681866	0.0013212557667058285	0.001340936312246378	0.0013648120463958073	0.0013930557854449162	0.001425849613823887	0.001463381668232815	0.0015058428082013679	0.0015534232074586522	0.0016063088990957118	0.0016646783058515747	0.0017286987850282038	0.0017985232156207424	0.0018742866533184531	0.0019561030771674415	0.0020440622499625764	0.002138226712919445	0.002238628933923011	0.0023452686277009517	0.0024581102656534375	0.002577080792797179	0.0027020675693398676	0.0028329165547632167	0.0029694307529074325	0.0031113689373487214	0.0032584446772557117	0.0034103256847960797	0.0035666335059247154	0.003726943576892192	0.0038907856689366503	0.004057644743233168	0.004226962237147493	0.004398137801063752	0.004570531502434644	0.004743466510164755	0.00491623226794167	0.0050880881596643	0.00525826766370916	0.005425982985486001	0.005590430149668459	0.00575079452478189	0.005906256743668066	0.006055998973934136	0.006199211483067815	0.00633509943372222	0.006462889836012437	0.006581838575801319	0.0066912374311560545	0.00679042098369138	0.006878773327616763	0.006955734477181139	0.007020806373023625	0.007073558389813904	0.007113632251565032	0.007140746267135398	0.007154698806651677	0.007155370949771552	0.007142728248691945	0.007116821562370851	0.007077786933290987	0.007025844493936264	0.0069612964066204175	0.006884523857028838	0.006795983138414997	0.0066962008794434515	0.006585768483806296	0.006465335863598072	0.006335604560685421	0.006197320360660126	0.006051265512178111	0.005898250670378428	0.005739106686518963	0.005574676366902179	0.005405806322598931	0.005233339027479538	0.005058105195761692	0.004880916581868002	0.004702559295092051	0.004523787709678104	0.004345319037739417	0.0041678286183110674	0.003991945961105898	0.0038182515685718883	0.003647274544985694	0.003479490986893782	0.0033153231355405894	0.0031551392592814587	0.0029992542226075156	0.0028479306885110175	0.0027013808926438392	0.002559768921175915	0.0024232134194998593	0.0022917906559624898	0.0021655378635968376	0.0020444567833024178	0.0019285173339603301	0.0018176613384267137	0.0017118062390485333	0.0016108487420964167	0.0015146683371026197
disease	saturation	5.3942140556722226e-05	6.20632089662297e-05	7.117347563484673e-05	8.13546846077186e-05	9.26894292884917e-05	0.00010526020212667716	0.0001191483314843101	0.00013443281559517774	0.0001511890677944144	0.00016948759165856335	0.0001893926092371954	0.0002109606700376269	0.00023423927268730537	0.00025926553507297503	0.00028606495206114785	0.00031465028245595487	0.0003450206084657518	0.0003771606114559011	0.0004110401070059537	0.00044661388013382146	0.0004838218578987209	0.0005225896513898651	0.0005628294923365783	0.0006044415812772322	0.0006473158544946012	0.0006913341659178998	0.0007363728681197109	0.0007823057636692801	0.000829007384765662	0.0008763565456352722	0.0009242400990476692	0.0009725568159178115	0.001021221295775338	0.0010701678063459064	0.0011193539430470387	0.0011687639942628578	0.0012184118961946092	0.0012683436621924219	0.0013186391759878395	0.0013694132463074706	0.0014208158319965792	0.0014730313619503424	0.0015262770926586094	0.0015808004677195918	0.0016368754678569358	0.001694797966260819	0.0017548801318448873	0.0018174439515565508	0.0018828139714172334	0.0019513093836687574	0.002023235613400735	0.0020988755814665993	0.0021784808405207316	0.0022622627968347264	0.002350384241464889	0.002442951419738077	0.002540006867423227	0.0026415232350386173	0.0027473983083602473	0.002857451413381692	0.0029714213679651845	0.0030889661106505294	0.0032096641001856945	0.0033330175381283086	0.003458457422332571	0.0035853503924193845	0.0037130072806863417	0.003840693234691469	0.003967639232325054	0.0040930547679572	0.0042161414505573645	0.004336107222783468	0.004452180885051143	0.0045636265914657985	0.004669757975963681	0.004769951567550909	0.004863659163374072	0.004950418847437369	0.005029864370751624	0.005101732644922685	0.0051658691447572435	0.005222231065235148	0.005270888132807604	0.005312021028905008	0.005345917443124974	0.005372965833110972	0.005393647025896567	0.005408523849807604	0.0054182290353101265	0.005423451666050184	0.005424922496540624	0.005423398479536771	0.005419646863411893	0.005414429227387441	0.0054084858201935305	0.005402520555830898	0.005397186999068924	0.005393075643906351	0.005390702751439475	0.005390500970625595	0.005392811917652087	0.005397880838482575	0.005405853426172216	0.005416774811244293	0.005430590691284982	0.00544715051633249	0.005466212600876979	0.005487450992449936	0.005510463891778285	0.00553478339101254	0.005559886275093565	0.005585205617156312	0.005610142892023014	0.00563408033214239	0.005656393257424389	0.005676462123770781	0.00569368405403592	0.005707483638876161	0.005717322822583579	0.005722709719617531	0.005723206240183481	0.005718434436908658	0.0057080815184964015	0.005691903509330677	0.005669727565543806	0.005641452987337186	0.0056070509937458405	0.005566563349059733	0.005520099949375568	0.005467835492990581	0.005410005369422375	0.005346900908721198	0.005278864135520092	0.005206282171131976	0.005129581422233308	0.005049221686630822	0.004965690295721614	0.004879496400006228	0.0047911654889198334	0.004701234219847681	0.00461024561403865	0.004518744659763639	0.004427274346008058	0.004336372133722487	0.00424656685662656	0.004158376030152844	0.004072303535650008	0.00398883763769221	0.00390844928543681	0.0038315906445386782	0.0037586938041852024	0.00369016960430997	0.003626406530848808	0.003567769631825873	0.003514599413849175	0.003467210686948328	0.003425891335258008	0.0033909010014593756	0.0033624696837411166	0.0033407962549229283	0.003326046923893971	0.0033183536692645084	0.0033178126837475628	0.0033244828749506026	0.003338384473683668	0.00335949780435652	0.003387762273381173	0.0034230756306282565	0.0034652935558890114	0.003514229617030843	0.0035696556392410387	0.003631302515641928	0.003698861478915201	0.003771985841734689	0.003850293201174539	0.003933368089266561	0.0040207650389898686	0.004112012022656541	0.004206614208373003	0.004304057970444445	0.004403815081643059	0.004505347009515889	0.004608109235622456	0.004711555515940187	0.004815142002731665	0.004918331152903672	0.005020595355172321	0.0051214202179435	0.005220307471395027	0.005316777450385944	0.005410371139037147	0.005500651772584843	0.005587206006839538	0.005669644679712132	0.005747603202239086	0.005820741627833531	0.005888744457655362	0.0059513202466621815	0.006008201078802929	0.006059141980791868	0.006103920341914051	0.006142335402451903	0.00617420786579101	0.006199379679379907	0.0062177140178998344	0.0062290954887432816	0.006233430565761802	0.00623064824281708	0.0062207008845601855	0.006203565238659632	0.006179243561952566	0.0061477648031909	0.0061091857776033	0.006063592263702034	0.006011099950829275	0.005951855166943165	0.005886035320052256	0.005813848993368753	0.0057355356434067905	0.005651364861550979	0.005561635172632304	0.005466672358281965	0.0053668273077612195	0.0052624734140389985	0.005154003547566234	0.0050418266539590155	0.004926364034175452	0.0048080453763396066	0.00468730461678715	0.004564575713922913	0.004440288421921393	0.004314864152091074	0.004188712007877274	0.004062225075100678	0.003935777042302937	0.0038097192172542654	0.003684377995086091	0.003560052821508864	0.003437014681557579	0.003315505130691945	0.003195735871285559	0.0030778888639818066	0.00296211695046537	0.0028485449522566023	0.002737271199498922	0.002628369434644796	0.0025218910286639497	0.002417867442050338	0.0023163128595792186	0.0022172269264889508	0.002120597514497149	0.002026403448714315	0.0019346171309428326	0.0018452070008510414	0.0017581397838578204	0.0016733824829878803
